YouTube_ID,start seconds,label,train/test split,thumbnail,predicted_materials,predicted_sounds
--0PQM4-hqg,30,waterfall burbling,train,https://img.youtube.com/vi/--0PQM4-hqg/0.jpg,Water,Pumping water
--8puiAGLhs,30,car engine starting,train,https://img.youtube.com/vi/--8puiAGLhs/0.jpg,Metal,A car engine starting
--Bu2xe4OSo,430,wind noise,train,https://img.youtube.com/vi/--Bu2xe4OSo/0.jpg,Metal,A boat on the water.
--L3BCCcGEw,400,people clapping,train,https://img.youtube.com/vi/--L3BCCcGEw/0.jpg,Leaf,A choir singing in a church.
--UQXuZfbFY,44,bird wings flapping,train,https://img.youtube.com/vi/--UQXuZfbFY/0.jpg,Glass,Pumping water
--UQXuZfbFY,59,bird wings flapping,train,https://img.youtube.com/vi/--UQXuZfbFY/0.jpg,Glass,Pumping water
--XInAaMS6k,61,cap gun shooting,train,https://img.youtube.com/vi/--XInAaMS6k/0.jpg,Metal,A gun
--XInAaMS6k,72,cap gun shooting,train,https://img.youtube.com/vi/--XInAaMS6k/0.jpg,Metal,A gun
--Z4X0SQxBc,290,people clapping,train,https://img.youtube.com/vi/--Z4X0SQxBc/0.jpg,Plastic,A video thumbnail of a man and a woman dancing on a stage.
--byNAHo7tQ,0,"race car, auto racing",train,https://img.youtube.com/vi/--byNAHo7tQ/0.jpg,Dirt,"Race car, auto racing"
--vpnMyh30c,83,"subway, metro, underground",train,https://img.youtube.com/vi/--vpnMyh30c/0.jpg,Tile,"Subway, metro, underground"
--xDffQ9Mwo,30,car passing by,train,https://img.youtube.com/vi/--xDffQ9Mwo/0.jpg,Plastic,A car driving on a race track.
--zLzL0sq3M,30,car passing by,train,https://img.youtube.com/vi/--zLzL0sq3M/0.jpg,Plastic,A video of a man driving a car at night.
-0DIFwkUpjQ,50,skateboarding,train,https://img.youtube.com/vi/-0DIFwkUpjQ/0.jpg,Metal,Skateboarding
-0TTFAArJ9k,30,horse clip-clop,train,https://img.youtube.com/vi/-0TTFAArJ9k/0.jpg,Dirt,Skateboarding
-0U3c4PN8sc,30,car passing by,train,https://img.youtube.com/vi/-0U3c4PN8sc/0.jpg,Plastic,A car driving by.
-0VKonoRviE,197,church bell ringing,train,https://img.youtube.com/vi/-0VKonoRviE/0.jpg,Wood,A bell ringing
-0VKonoRviE,209,church bell ringing,train,https://img.youtube.com/vi/-0VKonoRviE/0.jpg,Wood,A bell ringing
-0X1juZHG6I,30,toilet flushing,train,https://img.youtube.com/vi/-0X1juZHG6I/0.jpg,Ceramic,Toilet flushing
-0ZYW2yXKp8,22,bird wings flapping,train,https://img.youtube.com/vi/-0ZYW2yXKp8/0.jpg,Grass,A chicken.
-0ZYW2yXKp8,32,bird wings flapping,train,https://img.youtube.com/vi/-0ZYW2yXKp8/0.jpg,Grass,A chicken.
-0_vEaaXndY,11,driving buses,train,https://img.youtube.com/vi/-0_vEaaXndY/0.jpg,Metal,A bus driving down the street.
